#ZVView-data-copy:   6-Oct-2017 16:33:38
#=======================================
#
#name:   ENDF/B-VIII.b4: XE-128(N,INL)XE-128
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  340
#data...
#            X            Y
#          MeV        barns
         1.316      1.62895
       1.32754      1.63481
       1.34796      1.64463
       1.35379      1.64744
        1.3687      1.65479
       1.36931      1.65507
       1.38446      1.66241
       1.41422      1.67683
       1.42467      1.68156
       1.42502      1.68172
       1.43316      1.68539
       1.44959      1.69288
       1.47084      1.70272
       1.47446       1.7043
           1.5      1.71547
       1.52918      1.72709
       1.55893      1.73893
       1.58163      1.74714
       1.60465      1.75547
       1.62019      1.76062
       1.62214      1.76134
       1.67575      1.78102
       1.68384      1.78364
       1.68486      1.78397
       1.70014      1.78897
        1.7166       1.7945
          1.75      1.80593
       1.77946      1.81494
       1.80941      1.82436
       1.85528      1.83669
       1.87083      1.84097
       1.89045      1.84713
       1.90232      1.85086
       1.93434      1.85915
       1.95055      1.86337
       1.96279      1.86663
       1.96689      1.86772
             2      1.87671
       2.05133      1.88971
       2.10398      1.90099
       2.15115      1.91212
       2.21336      1.92503
       2.24248      1.93107
       2.28641       1.9411
       2.36537      1.95611
       2.40077      1.96347
        2.4367      1.97117
       2.44707      1.97353
       2.45726      1.97529
       2.50088      1.98282
       2.51018      1.98455
       2.56674      1.99514
       2.57492      1.99677
       2.61728      2.00529
       2.62458      2.00684
       2.63175      2.00798
       2.63879       2.0091
       2.66881      2.01388
       2.67518      2.01495
       2.71378      2.02141
       2.74801      2.02728
       2.74801      2.02728
       2.75293      2.02819
       2.77831      2.03287
       2.80985      2.03887
       2.83294      2.04328
       2.83548      2.04365
        2.8533      2.04624
       2.85554      2.04657
       2.87124      2.04898
       2.87441      2.04949
       2.88757      2.05164
       2.91527      2.05615
       2.94413      2.06085
       2.95105      2.06199
       2.95733      2.06305
       2.96263      2.06394
       2.96728      2.06473
             3       2.0704
       3.10984      2.06675
       3.15916      2.06513
       3.20925      2.06415
       3.25374      2.06328
       3.29884       2.0624
       3.37927       2.0618
       3.39092      2.06171
       3.40237      2.06163
       3.45126      2.05988
       3.46167       2.0596
       3.52478        2.058
       3.58095       2.0566
       3.58905      2.05646
         3.597      2.05633
       3.63801      2.05567
       3.68141      2.05497
       3.72532      2.05434
       3.72532      2.05434
       3.76337      2.05404
       3.78995      2.05383
       3.79217      2.05377
       3.79315      2.05375
       3.82118      2.05308
       3.84309      2.05257
       3.86022      2.05222
        3.8947      2.05157
       3.91951      2.05114
       3.93948      2.05079
         3.947      2.05066
       3.96459       2.0504
             4      2.04991
       4.11314       2.0369
       4.16364       2.0311
       4.30574      2.01517
        4.3189      2.01373
        4.4697      1.99722
        4.4697      1.99722
       4.47994      1.99612
       4.59675      1.98362
       4.64533      1.97851
       4.65231      1.97778
       4.65231      1.97778
       4.73156      1.96945
       4.76901      1.96557
       4.77362       1.9651
       4.80134      1.96223
       4.82574      1.95971
       4.88314      1.95385
