#ZVView-data-copy:   2-Oct-2017 15:26:51
#=======================================
#
#name:   ENDF/B-VIII.b4: XE-129(N,EL)XE-129-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  10697
#data...
#            X            Y
#          MeV        barns
    8.84223e-5     0.557974
    8.84894e-5     0.585653
    8.85565e-5     0.616652
    8.86237e-5     0.651321
    8.86953e-5     0.692795
    8.87489e-5     0.727267
    8.88026e-5     0.764918
    8.88564e-5     0.806042
      8.891e-5     0.850971
    8.89638e-5     0.900074
    8.90174e-5     0.953767
    8.90712e-5      1.01252
    8.91204e-5      1.07127
    8.91651e-5      1.12914
    8.92099e-5      1.19168
    8.92546e-5      1.25931
    8.92994e-5      1.33255
    8.93441e-5      1.41198
    8.93889e-5      1.49826
    8.94336e-5      1.59217
    8.94748e-5      1.68608
    8.95124e-5      1.77884
      8.955e-5      1.87905
    8.95876e-5      1.98762
    8.96252e-5      2.10558
    8.96627e-5      2.23422
    8.97003e-5      2.37511
    8.97379e-5      2.53019
    8.97719e-5      2.68473
    8.98024e-5      2.83632
    8.98328e-5      3.00246
    8.98632e-5      3.18536
    8.98937e-5      3.38762
    8.99241e-5      3.61214
    8.99545e-5      3.86206
    8.99849e-5      4.14061
    9.00091e-5      4.38426
     9.0036e-5         4.68
    9.00628e-5      5.00329
    9.00897e-5      5.35452
    9.01076e-5      5.60385
    9.01434e-5        6.136
    9.01806e-5      6.72782
    9.02579e-5      7.99557
    9.02866e-5      8.43747
    9.03152e-5       8.8391
    9.03438e-5      9.18343
    9.03653e-5      9.39443
    9.03868e-5      9.55844
    9.04083e-5      9.67087
    9.04298e-5      9.72868
    9.04441e-5      9.73618
    9.04656e-5      9.70115
     9.0487e-5       9.6126
    9.05085e-5      9.47466
    9.05354e-5      9.24156
    9.05701e-5      8.86747
    9.06417e-5      8.00502
    9.06696e-5      7.70465
    9.06932e-5      7.49226
    9.07147e-5      7.34276
    9.07362e-5       7.2422
    9.07577e-5      7.19629
    9.07649e-5      7.19389
    9.07863e-5       7.2271
    9.08014e-5      7.28728
    9.08171e-5       7.3835
     9.0832e-5      7.50553
    9.08529e-5      7.72893
    9.08739e-5      8.01171
    9.08961e-5      8.37489
    9.09189e-5      8.81463
    9.09417e-5      9.31973
    9.09645e-5      9.88856
    9.09873e-5        10.52
