#ZVView-data-copy:   6-Oct-2017 16:32:26
#=======================================
#
#name:   ENDF/B-VIII.b4: XE-128(N,EL)XE-128-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  3348
#data...
#            X            Y
#          MeV        barns
    0.00023644      87.0976
   0.000236473      92.6014
   0.000236506      98.6008
   0.000236539      105.158
    0.00023657      111.811
   0.000236599      118.494
   0.000236627      125.759
   0.000236656      133.678
   0.000236684      142.332
   0.000236713      151.813
   0.000236741      162.229
    0.00023677      173.702
   0.000236797       185.82
   0.000236823      198.571
   0.000236849      212.599
   0.000236875       228.06
   0.000236902      245.133
   0.000236928      264.015
   0.000236954      284.926
   0.000236973      302.087
   0.000236993      320.636
   0.000237015      343.616
   0.000237038      368.744
    0.00023706       396.22
   0.000237082      426.257
   0.000237105       459.08
   0.000237127      494.922
   0.000237149      534.026
   0.000237172      576.638
   0.000237192      617.889
   0.000237211      662.319
   0.000237231      710.102
   0.000237251      761.407
   0.000237271      816.395
   0.000237291      875.213
   0.000237311      937.994
    0.00023734      1034.78
   0.000237365       1129.2
   0.000237391      1230.65
   0.000237417      1339.15
   0.000237442      1454.57
   0.000237468      1576.71
   0.000237508      1779.14
   0.000237548      1994.87
   0.000237597      2275.92
   0.000237711      2941.01
   0.000237757      3192.08
   0.000237795      3384.87
   0.000237833       3557.1
   0.000237866      3685.37
   0.000237898      3791.88
    0.00023793      3871.18
   0.000237958      3922.71
   0.000237987      3953.75
   0.000238013      3963.79
   0.000238042      3954.16
    0.00023807      3923.69
   0.000238105      3858.39
   0.000238144      3754.04
   0.000238182      3618.78
   0.000238217      3476.15
   0.000238251      3316.04
     0.0002383       3061.5
    0.00023838      2618.55
   0.000238456      2195.06
   0.000238502      1953.34
    0.00023854      1763.34
   0.000238578      1585.81
   0.000238606       1461.6
   0.000238635      1345.38
   0.000238665      1228.65
   0.000238689      1145.31
   0.000238713       1067.5
   0.000238737      995.069
    0.00023876      927.837
   0.000238784      865.588
   0.000238808       808.08
   0.000238832      755.057
    0.00023886      697.887
   0.000238884      652.851
   0.000238908      611.572
   0.000238932      573.764
   0.000238957       539.15
   0.000238981      507.464
   0.000239005      478.456
   0.000239029      451.888
   0.000239054      427.538
    0.00023907      412.435
   0.000239102       384.69
    0.00023913      362.661
   0.000239159      342.664
   0.000239188       324.47
   0.000239216      307.878
   0.000239254      287.941
   0.000239292      270.171
    0.00023933      254.258
   0.000239368      239.945
   0.000239406      227.014
   0.000239454      212.519
   0.000239501      199.605
   0.000239548      188.037
   0.000239596      177.619
   0.000239643      168.194
   0.000239691      159.629
   0.000239738      151.817
   0.000239786      144.665
   0.000239848       136.23
   0.000239909       128.64
   0.000239971      121.779
   0.000240033      115.552
   0.000240095      109.877
