#ZVView-data-copy:   6-Oct-2017 16:27:15
#=======================================
#
#name:   ENDF/B-VIII.b4: XE-128(N,G)XE-129
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  4900
#data...
#            X            Y
#          MeV        barns
    0.00023173       1.3872
   0.000231908      1.46931
   0.000232086      1.55901
   0.000232264      1.65726
   0.000232443      1.76519
   0.000232621      1.88413
   0.000232799      2.01562
   0.000232977      2.16151
   0.000233155      2.32398
   0.000233333      2.50568
   0.000233452      2.63902
   0.000233571      2.78341
   0.000233689      2.94009
   0.000233808      3.11052
   0.000233927      3.29635
   0.000234046      3.49953
   0.000234164      3.72229
   0.000234283      3.96725
   0.000234402      4.23749
   0.000234521      4.53664
   0.000234639      4.86901
   0.000234728      5.14316
   0.000234818      5.44143
   0.000234907      5.76678
   0.000234996       6.1226
   0.000235085      6.51289
   0.000235174       6.9423
   0.000235263      7.41631
   0.000235352       7.9414
   0.000235441      8.52533
    0.00023553      9.17737
   0.000235608       9.8164
   0.000235687      10.5261
   0.000235765      11.3175
   0.000235844       12.204
   0.000235896      12.8558
   0.000235948      13.5627
   0.000236019      14.6278
   0.000236067      15.4115
   0.000236114      16.2621
   0.000236162      17.1879
   0.000236209      18.1984
   0.000236257      19.3046
   0.000236304      20.5199
   0.000236349      21.7895
   0.000236392      23.1104
   0.000236435      24.5626
   0.000236478      26.1652
    0.00023652      27.9414
   0.000236563      29.9188
   0.000236595      31.5539
   0.000236627      33.3378
   0.000236659      35.2901
   0.000236687      37.1029
    0.00023672      39.5205
   0.000236753      42.2014
   0.000236786       45.185
    0.00023682      48.5175
   0.000236845      51.2777
    0.00023687      54.2897
   0.000236894      57.5823
   0.000236919      61.1869
   0.000236949       65.894
   0.000236974      70.4379
      0.000237      75.4443
   0.000237026      80.9635
   0.000237051      87.0501
   0.000237077      93.7625
   0.000237103      101.162
   0.000237128      109.314
   0.000237151      117.245
   0.000237171      124.753
   0.000237191      132.825
   0.000237211      141.492
   0.000237231      150.786
   0.000237251      160.736
   0.000237271      171.369
   0.000237291      182.712
    0.00023732      200.494
   0.000237348       219.54
   0.000237377      240.159
   0.000237405      262.356
   0.000237434      286.106
   0.000237468      316.573
   0.000237498      345.324
   0.000237544       390.99
   0.000237601       451.17
   0.000237704      561.024
   0.000237749      606.806
   0.000237783      638.448
   0.000237818       666.99
   0.000237852      691.758
   0.000237887      712.643
   0.000237923      728.518
   0.000237958       738.62
    0.00023799      742.502
      0.000238      742.735
   0.000238031       740.24
   0.000238066      732.128
   0.000238101      717.927
   0.000238137      698.257
   0.000238171      674.734
   0.000238205      647.255
   0.000238228      627.061
   0.000238274      583.104
   0.000238333      521.628
   0.000238441      405.639
   0.000238486      359.208
   0.000238517      329.812
   0.000238556      294.344
    0.00023859      265.446
   0.000238616      245.227
   0.000238641       226.28
   0.000238667      208.609
   0.000238695       190.74
   0.000238717      177.826
   0.000238739      165.777
    0.00023876      154.561
   0.000238782      144.143
   0.000238804      134.485
   0.000238826      125.548
   0.000238848       117.29
   0.000238872      109.035
   0.000238897      100.902
   0.000238923      93.5194
   0.000238949      86.8211
   0.000238974      80.7462
      0.000239      75.2368
   0.000239026      70.2387
   0.000239051      65.7016
   0.000239081      61.0012
   0.000239106      57.4011
    0.00023913      54.1126
   0.000239155      51.1039
    0.00023918      48.3469
   0.000239197      46.6357
    0.00023923      43.4872
   0.000239264      40.6633
   0.000239297      38.1215
    0.00023933      35.8252
   0.000239368       33.462
